CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDROBTAINED,EDRMETHOD,CASEWGT,PSUSTRAT,VERSION
6705,11,15,1-11-2017-015-05,5,4,3,,459.56320010308000000000,8,2
6706,11,16,1-11-2017-016-05,5,2,1,1,459.56320010308000000000,8,2
6746,11,17,1-11-2017-017-01,1,1,4,,473.93014835835700000000,8,2
6809,11,18,1-11-2017-018-02,2,1,9,,327.72235960346100000000,8,2
6809,11,18,1-11-2017-018-02,2,2,7,,327.72235960346100000000,8,2
6844,11,19,1-11-2017-019-08,8,1,9,,1502.31800595479000000000,8,2
6943,11,20,1-11-2017-020-01,1,1,4,,142.98764664428800000000,8,2
6995,11,21,1-11-2017-021-09,9,1,3,,13617.39825112580000000000,8,2
7034,11,22,1-11-2017-022-06,6,3,9,,6809.55000197747000000000,8,2
7042,11,23,1-11-2017-023-05,5,1,9,,397.08111731963200000000,8,2
7095,11,24,1-11-2017-024-01,1,1,9,,235.60164635252800000000,8,2
7096,11,25,1-11-2017-025-05,5,1,9,,213.64699126240900000000,8,2
7096,11,25,1-11-2017-025-05,5,2,9,,213.64699126240900000000,8,2
7154,11,26,1-11-2017-026-05,5,2,3,,562.47811420163700000000,8,2
7237,11,27,1-11-2017-027-03,3,1,5,,2010.92272580976000000000,8,2
7237,11,27,1-11-2017-027-03,3,2,3,,2010.92272580976000000000,8,2
7238,11,28,1-11-2017-028-04,4,2,9,,6303.98203629516000000000,8,2
7309,11,30,1-11-2017-030-05,5,1,9,,219.81276137336800000000,8,2
7309,11,30,1-11-2017-030-05,5,2,3,,219.81276137336800000000,8,2
7310,11,31,1-11-2017-031-07,7,2,3,,6275.10787317042000000000,8,2
7412,11,34,1-11-2017-034-03,3,1,3,,5482.36530536070000000000,8,2
7412,11,34,1-11-2017-034-03,3,2,9,,5482.36530536070000000000,8,2
7413,11,35,1-11-2017-035-01,1,1,9,,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,2,9,,473.93014835835700000000,8,2
7413,11,35,1-11-2017-035-01,1,3,9,,473.93014835835700000000,8,2
7570,11,37,1-11-2017-037-02,2,1,9,,148.71630109271600000000,8,2
7642,11,38,1-11-2017-038-03,3,2,9,,2849.41052148348000000000,8,2
7750,11,39,1-11-2017-039-04,4,1,3,,11665.02643297210000000000,8,2
7750,11,39,1-11-2017-039-04,4,2,9,,11665.02643297210000000000,8,2
7978,11,43,1-11-2017-043-07,7,1,3,,5823.90726220291000000000,8,2
7978,11,43,1-11-2017-043-07,7,2,3,,5823.90726220291000000000,8,2
8100,11,46,1-11-2017-046-02,2,2,3,,256.64109034170400000000,8,2
8188,11,47,1-11-2017-047-02,2,2,9,,119.39762715992700000000,8,2
8201,11,49,1-11-2017-049-03,3,1,9,,718.14644365892900000000,8,2
8201,11,49,1-11-2017-049-03,3,2,3,,718.14644365892900000000,8,2
8243,11,50,1-11-2017-050-06,6,1,3,,6809.55000197747000000000,8,2
8243,11,50,1-11-2017-050-06,6,2,3,,6809.55000197747000000000,8,2
8339,11,51,1-11-2017-051-03,3,1,9,,1540.97904907861000000000,8,2
8339,11,51,1-11-2017-051-03,3,2,5,,1540.97904907861000000000,8,2
8347,11,53,1-11-2017-053-05,5,2,99,,215.76360545375000000000,8,2
8402,11,54,1-11-2017-054-09,9,1,3,,11639.62060784460000000000,8,2
8472,11,56,1-11-2017-056-02,2,1,1,1,182.45859960946600000000,8,2
8472,11,56,1-11-2017-056-02,2,2,3,,182.45859960946600000000,8,2
8535,11,57,1-11-2017-057-02,2,1,9,,606.20652262610400000000,8,2
8671,11,58,1-11-2017-058-03,3,1,3,,2705.76245215757000000000,8,2
8672,11,59,1-11-2017-059-07,7,2,3,,10815.32105872460000000000,8,2
8779,11,60,1-11-2017-060-03,3,1,9,,6747.68905404697000000000,8,2
8779,11,60,1-11-2017-060-03,3,2,9,,6747.68905404697000000000,8,2
8838,11,61,1-11-2017-061-02,2,2,1,1,356.97106988378900000000,8,2
6110,12,1,1-12-2017-001-06,6,1,1,1,831.84353437745300000000,9,2
6185,12,2,1-12-2017-002-06,6,1,1,1,6809.55000197747000000000,9,2
6185,12,2,1-12-2017-002-06,6,2,3,,6809.55000197747000000000,9,2
6238,12,3,1-12-2017-003-04,4,1,9,,2969.00932898461000000000,9,2
6238,12,3,1-12-2017-003-04,4,2,1,1,2969.00932898461000000000,9,2
6242,12,4,1-12-2017-004-07,7,1,3,,3303.40692034561000000000,9,2
6307,12,5,1-12-2017-005-04,4,1,3,,2341.23732557018000000000,9,2
6307,12,5,1-12-2017-005-04,4,2,3,,2341.23732557018000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,1,1021.86144489025000000000,9,2
6396,12,8,1-12-2017-008-03,3,1,1,1,1095.44977438854000000000,9,2
6396,12,8,1-12-2017-008-03,3,2,5,,1095.44977438854000000000,9,2
6438,12,9,1-12-2017-009-06,6,1,1,1,1810.24026052966000000000,9,2
6438,12,9,1-12-2017-009-06,6,2,3,,1810.24026052966000000000,9,2
6475,12,10,1-12-2017-010-02,2,1,1,1,564.82332510940000000000,9,2
6475,12,10,1-12-2017-010-02,2,2,1,1,564.82332510940000000000,9,2
6537,12,11,1-12-2017-011-01,1,1,3,,473.93014835835700000000,9,2
6580,12,12,1-12-2017-012-08,8,1,1,1,1347.70857556865000000000,9,2
6671,12,13,1-12-2017-013-06,6,1,3,,1527.56309545422000000000,9,2
6734,12,15,1-12-2017-015-09,9,1,1,1,3747.88353603989000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,3,,1702.36586596526000000000,9,2
6777,12,17,1-12-2017-017-06,6,1,1,1,917.18174815223400000000,9,2
6777,12,17,1-12-2017-017-06,6,2,6,,917.18174815223400000000,9,2
6816,12,18,1-12-2017-018-05,5,1,1,1,628.83294075430700000000,9,2
6863,12,19,1-12-2017-019-08,8,2,1,3,1502.31800595479000000000,9,2
6917,12,20,1-12-2017-020-06,6,1,1,1,1254.99773785581000000000,9,2
6917,12,20,1-12-2017-020-06,6,2,1,1,1254.99773785581000000000,9,2
6948,12,21,1-12-2017-021-03,3,2,1,1,1881.93111351030000000000,9,2
7005,12,23,1-12-2017-023-06,6,1,1,3,527.92250471460800000000,9,2
7014,12,24,1-12-2017-024-06,6,1,4,,1919.29361022592000000000,9,2
7056,12,25,1-12-2017-025-03,3,2,3,,7140.91132777394000000000,9,2
7056,12,25,1-12-2017-025-03,3,3,3,,7140.91132777394000000000,9,2
7138,12,26,1-12-2017-026-10,10,1,5,,3396.44710962869000000000,9,2
7139,12,27,1-12-2017-027-01,1,1,1,1,473.93014835835700000000,9,2
7171,12,28,1-12-2017-028-03,3,1,1,1,4470.95150360823000000000,9,2
7171,12,28,1-12-2017-028-03,3,2,1,1,4470.95150360823000000000,9,2
7211,12,29,1-12-2017-029-09,9,1,1,3,3832.45356653444000000000,9,2
7212,12,30,1-12-2017-030-07,7,1,1,3,2259.18028942213000000000,9,2
7212,12,30,1-12-2017-030-07,7,2,3,,2259.18028942213000000000,9,2
7259,12,31,1-12-2017-031-02,2,1,1,1,655.80624481642800000000,9,2
7259,12,31,1-12-2017-031-02,2,2,1,1,655.80624481642800000000,9,2
7316,12,32,1-12-2017-032-03,3,1,1,1,631.78882147421700000000,9,2
7317,12,33,1-12-2017-033-07,7,1,1,1,3256.77527939067000000000,9,2
7455,12,34,1-12-2017-034-04,4,1,1,1,3990.87077387485000000000,9,2
7455,12,34,1-12-2017-034-04,4,2,3,,3990.87077387485000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,1,1,3990.87077387485000000000,9,2
7546,12,36,1-12-2017-036-07,7,1,3,,4239.64448800503000000000,9,2
7546,12,36,1-12-2017-036-07,7,2,1,1,4239.64448800503000000000,9,2
7586,12,38,1-12-2017-038-04,4,1,1,1,890.33745427701100000000,9,2
7586,12,38,1-12-2017-038-04,4,2,3,,890.33745427701100000000,9,2
7586,12,38,1-12-2017-038-04,4,3,9,,890.33745427701100000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,3,990.61558318088500000000,9,2
7674,12,40,1-12-2017-040-05,5,1,1,1,628.83294075430700000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,1,628.83294075430700000000,9,2
7713,12,41,1-12-2017-041-03,3,1,1,1,461.69698135238800000000,9,2
7713,12,41,1-12-2017-041-03,3,2,1,1,461.69698135238800000000,9,2
7709,12,42,1-12-2017-042-04,4,1,1,1,2139.05710310235000000000,9,2
7764,12,43,1-12-2017-043-03,3,1,1,1,838.43731407849400000000,9,2
7764,12,43,1-12-2017-043-03,3,2,3,,838.43731407849400000000,9,2
7832,12,45,1-12-2017-045-09,9,1,1,3,3838.87221500274000000000,9,2
7868,12,46,1-12-2017-046-03,3,1,1,1,438.99723933472900000000,9,2
7868,12,46,1-12-2017-046-03,3,2,9,,438.99723933472900000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,1,2454.35239269099000000000,9,2
7948,12,48,1-12-2017-048-03,3,1,1,1,896.22568943129300000000,9,2
7948,12,48,1-12-2017-048-03,3,2,9,,896.22568943129300000000,9,2
7949,12,49,1-12-2017-049-03,3,1,3,,896.22568943129300000000,9,2
7949,12,49,1-12-2017-049-03,3,2,1,1,896.22568943129300000000,9,2
8002,12,51,1-12-2017-051-10,10,1,1,1,1132.14903654290000000000,9,2
8002,12,51,1-12-2017-051-10,10,2,1,1,1132.14903654290000000000,9,2
8065,12,52,1-12-2017-052-03,3,1,3,,798.33956135558200000000,9,2
8065,12,52,1-12-2017-052-03,3,2,5,,798.33956135558200000000,9,2
8066,12,53,1-12-2017-053-06,6,1,1,1,1216.52299057212000000000,9,2
8066,12,53,1-12-2017-053-06,6,2,3,,1216.52299057212000000000,9,2
8118,12,54,1-12-2017-054-07,7,1,3,,8658.60604270848000000000,9,2
8118,12,54,1-12-2017-054-07,7,2,3,,8658.60604270848000000000,9,2
8193,12,55,1-12-2017-055-05,5,1,9,,385.57133132396900000000,9,2
8193,12,55,1-12-2017-055-05,5,2,1,1,385.57133132396900000000,9,2
8194,12,56,1-12-2017-056-04,4,1,1,1,6880.05579409105000000000,9,2
8259,12,58,1-12-2017-058-04,4,1,3,,3542.25540128003000000000,9,2
8259,12,58,1-12-2017-058-04,4,2,1,1,3542.25540128003000000000,9,2
8337,12,59,1-12-2017-059-04,4,1,2,1,3838.87370925107000000000,9,2
8338,12,60,1-12-2017-060-04,4,1,7,,3838.87370925107000000000,9,2
8435,12,62,1-12-2017-062-03,3,1,3,,441.84896571885700000000,9,2
8469,12,63,1-12-2017-063-03,3,1,5,,597.19614055370900000000,9,2
8469,12,63,1-12-2017-063-03,3,2,1,1,597.19614055370900000000,9,2
8470,12,64,1-12-2017-064-07,7,1,3,,3078.45527080477000000000,9,2
8470,12,64,1-12-2017-064-07,7,2,1,1,3078.45527080477000000000,9,2
8556,12,65,1-12-2017-065-03,3,1,1,1,1316.99171800419000000000,9,2
8556,12,65,1-12-2017-065-03,3,2,2,1,1316.99171800419000000000,9,2
8617,12,66,1-12-2017-066-04,4,1,9,,952.92853576381300000000,9,2
8618,12,67,1-12-2017-067-04,4,1,6,,952.92853576381300000000,9,2
8679,12,69,1-12-2017-069-03,3,1,1,2,1450.54178421601000000000,9,2
8774,12,70,1-12-2017-070-01,1,1,3,,473.93014835835700000000,9,2
8792,12,71,1-12-2017-071-02,2,1,9,,595.88224788933300000000,9,2
8895,12,72,1-12-2017-072-03,3,1,3,,1416.44009618599000000000,9,2
8895,12,72,1-12-2017-072-03,3,2,1,1,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,1,1,1,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,2,2,1,1416.44009618599000000000,9,2
8896,12,73,1-12-2017-073-03,3,3,1,1,1416.44009618599000000000,9,2
8939,12,74,1-12-2017-074-06,6,1,3,,419.20923822946600000000,9,2
8939,12,74,1-12-2017-074-06,6,2,1,1,419.20923822946600000000,9,2
9045,12,75,1-12-2017-075-04,4,1,2,1,1851.81367077250000000000,9,2
9045,12,75,1-12-2017-075-04,4,2,1,1,1851.81367077250000000000,9,2
6050,13,1,1-13-2017-001-04,4,1,1,1,2302.56589082077000000000,7,2
6050,13,1,1-13-2017-001-04,4,2,1,1,2302.56589082077000000000,7,2
6050,13,1,1-13-2017-001-04,4,3,9,,2302.56589082077000000000,7,2
6121,13,2,1-13-2017-002-03,3,2,5,,721.07648595279900000000,7,2
6122,13,3,1-13-2017-003-09,9,1,3,,4149.72387133394000000000,7,2
6122,13,3,1-13-2017-003-09,9,2,9,,4149.72387133394000000000,7,2
6179,13,4,1-13-2017-004-03,3,2,1,1,1311.02538454043000000000,7,2
6179,13,4,1-13-2017-004-03,3,3,3,,1311.02538454043000000000,7,2
6180,13,5,1-13-2017-005-03,3,1,9,,1311.02538453678000000000,7,2
6180,13,5,1-13-2017-005-03,3,2,3,,1311.02538453678000000000,7,2
6251,13,6,1-13-2017-006-03,3,1,1,1,803.97047188463400000000,7,2
6252,13,7,1-13-2017-007-02,2,2,1,1,62.50188682578690000000,7,2
6253,13,8,1-13-2017-008-01,1,1,3,,188.95571273465500000000,7,2
6315,13,9,1-13-2017-009-04,4,2,1,1,4954.12389489274000000000,7,2
6316,13,10,1-13-2017-010-01,1,1,1,4,333.15253105404000000000,7,2
6316,13,10,1-13-2017-010-01,1,2,3,,333.15253105404000000000,7,2
6370,13,11,1-13-2017-011-08,8,1,1,1,1502.31800595479000000000,7,2
6408,13,12,1-13-2017-012-03,3,2,1,1,1539.21955305570000000000,7,2
6409,13,13,1-13-2017-013-05,5,1,1,1,262.30835201285800000000,7,2
6409,13,13,1-13-2017-013-05,5,3,9,,262.30835201285800000000,7,2
6444,13,14,1-13-2017-014-02,2,1,3,,138.18107266463300000000,7,2
6444,13,14,1-13-2017-014-02,2,2,5,,138.18107266463300000000,7,2
6445,13,15,1-13-2017-015-03,3,1,5,,1777.44237550816000000000,7,2
6445,13,15,1-13-2017-015-03,3,3,1,1,1777.44237550816000000000,7,2
6493,13,16,1-13-2017-016-04,4,1,1,1,2740.02107410605000000000,7,2
6493,13,16,1-13-2017-016-04,4,2,3,,2740.02107410605000000000,7,2
6513,13,18,1-13-2017-018-03,3,2,3,,783.98946810617300000000,7,2
6540,13,19,1-13-2017-019-04,4,1,1,1,12110.59043255430000000000,7,2
6590,13,20,1-13-2017-020-02,2,2,1,1,154.19440424693100000000,7,2
6591,13,21,1-13-2017-021-02,2,1,3,,154.19440424639500000000,7,2
6591,13,21,1-13-2017-021-02,2,2,1,1,154.19440424639500000000,7,2
6591,13,21,1-13-2017-021-02,2,3,9,,154.19440424639500000000,7,2
6645,13,22,1-13-2017-022-06,6,1,3,,2455.12215097887000000000,7,2
6646,13,23,1-13-2017-023-03,3,1,1,1,1265.85023364405000000000,7,2
6646,13,23,1-13-2017-023-03,3,2,5,,1265.85023364405000000000,7,2
6682,13,24,1-13-2017-024-03,3,1,1,1,1287.69584822980000000000,7,2
6682,13,24,1-13-2017-024-03,3,2,3,,1287.69584822980000000000,7,2
6683,13,25,1-13-2017-025-04,4,1,5,,4500.46066267450000000000,7,2
6683,13,25,1-13-2017-025-04,4,2,1,1,4500.46066267450000000000,7,2
6722,13,26,1-13-2017-026-05,5,1,3,,236.36125573012700000000,7,2
6722,13,26,1-13-2017-026-05,5,3,5,,236.36125573012700000000,7,2
6723,13,27,1-13-2017-027-08,8,1,1,3,1145.11784943843000000000,7,2
6757,13,28,1-13-2017-028-04,4,2,1,1,4712.18190865343000000000,7,2
6758,13,29,1-13-2017-029-06,6,1,3,,2614.98469636895000000000,7,2
6758,13,29,1-13-2017-029-06,6,2,1,1,2614.98469636895000000000,7,2
6787,13,30,1-13-2017-030-02,2,1,1,1,91.07054217554070000000,7,2
6787,13,30,1-13-2017-030-02,2,2,5,,91.07054217554070000000,7,2
6787,13,30,1-13-2017-030-02,2,3,3,,91.07054217554070000000,7,2
6788,13,31,1-13-2017-031-07,7,1,5,,4245.73701337969000000000,7,2
6835,13,33,1-13-2017-033-02,2,1,1,1,65.39425729483340000000,7,2
6835,13,33,1-13-2017-033-02,2,2,3,,65.39425729483340000000,7,2
6849,13,34,1-13-2017-034-09,9,1,5,,4840.88145206512000000000,7,2
6849,13,34,1-13-2017-034-09,9,2,1,3,4840.88145206512000000000,7,2
6881,13,35,1-13-2017-035-05,5,1,4,,208.58473111814500000000,7,2
6882,13,36,1-13-2017-036-03,3,1,1,1,1223.97054512083000000000,7,2
6882,13,36,1-13-2017-036-03,3,2,1,1,1223.97054512083000000000,7,2
6906,13,37,1-13-2017-037-03,3,1,3,,1994.16895971702000000000,7,2
6906,13,37,1-13-2017-037-03,3,2,1,3,1994.16895971702000000000,7,2
6907,13,38,1-13-2017-038-03,3,1,4,,1994.16895971702000000000,7,2
6957,13,39,1-13-2017-039-02,2,2,9,,140.15566461981000000000,7,2
6957,13,39,1-13-2017-039-02,2,3,1,1,140.15566461981000000000,7,2
6957,13,39,1-13-2017-039-02,2,4,4,,140.15566461981000000000,7,2
6957,13,39,1-13-2017-039-02,2,5,5,,140.15566461981000000000,7,2
6958,13,40,1-13-2017-040-03,3,1,1,1,1802.84182676890000000000,7,2
6990,13,41,1-13-2017-041-02,2,1,1,1,114.87970684568800000000,7,2
6991,13,42,1-13-2017-042-03,3,3,1,1,1477.71366284744000000000,7,2
7023,13,43,1-13-2017-043-06,6,1,1,1,2974.90819095951000000000,7,2
7023,13,43,1-13-2017-043-06,6,2,3,,2974.90819095951000000000,7,2
7024,13,44,1-13-2017-044-02,2,1,1,1,119.24380308826500000000,7,2
7074,13,45,1-13-2017-045-08,8,1,1,3,835.14731700150400000000,7,2
7074,13,45,1-13-2017-045-08,8,2,1,1,835.14731700150400000000,7,2
7075,13,46,1-13-2017-046-03,3,1,1,1,1011.52739065054000000000,7,2
7075,13,46,1-13-2017-046-03,3,2,1,2,1011.52739065054000000000,7,2
7075,13,46,1-13-2017-046-03,3,3,9,,1011.52739065054000000000,7,2
7075,13,46,1-13-2017-046-03,3,4,5,,1011.52739065054000000000,7,2
7075,13,46,1-13-2017-046-03,3,5,5,,1011.52739065054000000000,7,2
7076,13,47,1-13-2017-047-03,3,1,1,1,1011.52739066714000000000,7,2
7076,13,47,1-13-2017-047-03,3,2,1,1,1011.52739066714000000000,7,2
7123,13,48,1-13-2017-048-04,4,2,2,1,2521.65929840692000000000,7,2
7124,13,49,1-13-2017-049-06,6,2,4,,1399.37307232443000000000,7,2
7124,13,49,1-13-2017-049-06,6,3,5,,1399.37307232443000000000,7,2
7125,13,50,1-13-2017-050-04,4,1,1,1,2521.65929840692000000000,7,2
7125,13,50,1-13-2017-050-04,4,2,3,,2521.65929840692000000000,7,2
7180,13,51,1-13-2017-051-02,2,1,1,1,223.87077588787700000000,7,2
7218,13,52,1-13-2017-052-06,6,1,1,1,5045.28531568187000000000,7,2
7218,13,52,1-13-2017-052-06,6,2,1,1,5045.28531568187000000000,7,2
7281,13,53,1-13-2017-053-03,3,1,1,3,931.20215853294300000000,7,2
7281,13,53,1-13-2017-053-03,3,2,3,,931.20215853294300000000,7,2
7267,13,54,1-13-2017-054-03,3,1,9,,931.20215852199400000000,7,2
7267,13,54,1-13-2017-054-03,3,2,1,1,931.20215852199400000000,7,2
7268,13,55,1-13-2017-055-10,10,1,5,,15216.83519490180000000000,7,2
7318,13,56,1-13-2017-056-02,2,1,3,,201.63898984262400000000,7,2
7318,13,56,1-13-2017-056-02,2,2,3,,201.63898984262400000000,7,2
7366,13,57,1-13-2017-057-07,7,1,3,,3594.91327501110000000000,7,2
7367,13,58,1-13-2017-058-03,3,1,1,1,991.88248213842200000000,7,2
7367,13,58,1-13-2017-058-03,3,2,1,1,991.88248213842200000000,7,2
7368,13,59,1-13-2017-059-03,3,1,1,1,991.88248214289800000000,7,2
7447,13,60,1-13-2017-060-04,4,2,1,1,2291.22123220478000000000,7,2
7448,13,61,1-13-2017-061-05,5,1,5,,111.72102148204900000000,7,2
7448,13,61,1-13-2017-061-05,5,2,1,1,111.72102148204900000000,7,2
7449,13,62,1-13-2017-062-06,6,1,3,,1271.49345553496000000000,7,2
7547,13,63,1-13-2017-063-03,3,1,1,1,278.88438302446900000000,7,2
7547,13,63,1-13-2017-063-03,3,2,3,,278.88438302446900000000,7,2
7548,13,64,1-13-2017-064-09,9,1,3,,1604.95204628538000000000,7,2
7549,13,65,1-13-2017-065-04,4,1,5,,974.69305120181700000000,7,2
7549,13,65,1-13-2017-065-04,4,2,5,,974.69305120181700000000,7,2
7611,13,66,1-13-2017-066-05,5,2,1,1,101.76253564822100000000,7,2
7600,13,67,1-13-2017-067-05,5,2,3,,101.76253564462900000000,7,2
7601,13,68,1-13-2017-068-04,4,2,1,1,2086.98845774215000000000,7,2
7670,13,69,1-13-2017-069-05,5,1,1,3,163.10554247397100000000,7,2
7671,13,70,1-13-2017-070-10,10,1,5,,15640.02830766000000000000,7,2
7671,13,70,1-13-2017-070-10,10,2,3,,15640.02830766000000000000,7,2
7672,13,71,1-13-2017-071-03,3,1,5,,957.09968157431400000000,7,2
7721,13,73,1-13-2017-073-02,2,2,1,1,63.26055253182290000000,7,2
7722,13,74,1-13-2017-074-02,2,1,1,1,63.26055253182290000000,7,2
7722,13,74,1-13-2017-074-02,2,2,3,,63.26055253182290000000,7,2
7722,13,74,1-13-2017-074-02,2,3,1,2,63.26055253182290000000,7,2
