CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,SEQUENCE,PREEVENT,CASEWGT,PSUSTRAT,VERSION
7042,11,23,1-11-2017-023-05,5,1,3,8,397.08111731963200000000,8,2
7095,11,24,1-11-2017-024-01,1,1,1,8,235.60164635252800000000,8,2
7395,11,33,1-11-2017-033-01,1,1,1,2,136.87480803214500000000,8,2
7413,11,35,1-11-2017-035-01,1,1,1,8,473.93014835835700000000,8,2
7570,11,37,1-11-2017-037-02,2,1,1,6,148.71630109271600000000,8,2
7748,11,40,1-11-2017-040-02,2,1,1,2,237.97610906699900000000,8,2
7926,11,41,1-11-2017-041-02,2,1,1,8,268.39318231611600000000,8,2
7927,11,42,1-11-2017-042-03,3,1,1,4,4196.66461204708000000000,8,2
7927,11,42,1-11-2017-042-03,3,1,2,4,4196.66461204708000000000,8,2
7927,11,42,1-11-2017-042-03,3,1,3,8,4196.66461204708000000000,8,2
8402,11,54,1-11-2017-054-09,9,1,1,6,11639.62060784460000000000,8,2
8471,11,55,1-11-2017-055-09,9,1,1,8,12809.28278492300000000000,8,2
8535,11,57,1-11-2017-057-02,2,1,1,8,606.20652262610400000000,8,2
8671,11,58,1-11-2017-058-03,3,1,1,2,2705.76245215757000000000,8,2
8990,11,63,1-11-2017-063-04,4,1,1,6,16228.30907686420000000000,8,2
6110,12,1,1-12-2017-001-06,6,1,1,8,831.84353437745300000000,9,2
6185,12,2,1-12-2017-002-06,6,1,1,6,6809.55000197747000000000,9,2
6238,12,3,1-12-2017-003-04,4,2,1,2,2969.00932898461000000000,9,2
6242,12,4,1-12-2017-004-07,7,1,1,6,3303.40692034561000000000,9,2
6367,12,7,1-12-2017-007-04,4,1,1,8,1021.86144489025000000000,9,2
6580,12,12,1-12-2017-012-08,8,1,1,8,1347.70857556865000000000,9,2
6671,12,13,1-12-2017-013-06,6,1,1,6,1527.56309545422000000000,9,2
6734,12,15,1-12-2017-015-09,9,1,1,8,3747.88353603989000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,1,8,1702.36586596526000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,2,9,1702.36586596526000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,3,2,1702.36586596526000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,4,2,1702.36586596526000000000,9,2
6747,12,16,1-12-2017-016-06,6,1,5,6,1702.36586596526000000000,9,2
6948,12,21,1-12-2017-021-03,3,1,1,2,1881.93111351030000000000,9,2
7005,12,23,1-12-2017-023-06,6,1,1,8,527.92250471460800000000,9,2
7014,12,24,1-12-2017-024-06,6,1,1,8,1919.29361022592000000000,9,2
7138,12,26,1-12-2017-026-10,10,1,1,6,3396.44710962869000000000,9,2
7138,12,26,1-12-2017-026-10,10,1,2,7,3396.44710962869000000000,9,2
7138,12,26,1-12-2017-026-10,10,1,3,4,3396.44710962869000000000,9,2
7138,12,26,1-12-2017-026-10,10,1,4,8,3396.44710962869000000000,9,2
7139,12,27,1-12-2017-027-01,1,1,1,8,473.93014835835700000000,9,2
7211,12,29,1-12-2017-029-09,9,1,1,2,3832.45356653444000000000,9,2
7211,12,29,1-12-2017-029-09,9,1,2,6,3832.45356653444000000000,9,2
7316,12,32,1-12-2017-032-03,3,1,1,6,631.78882147421700000000,9,2
7455,12,34,1-12-2017-034-04,4,1,1,2,3990.87077387485000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,1,2,3990.87077387485000000000,9,2
7456,12,35,1-12-2017-035-04,4,1,2,6,3990.87077387485000000000,9,2
7618,12,39,1-12-2017-039-07,7,1,1,8,990.61558318088500000000,9,2
7674,12,40,1-12-2017-040-05,5,2,1,2,628.83294075430700000000,9,2
7709,12,42,1-12-2017-042-04,4,1,1,6,2139.05710310235000000000,9,2
7832,12,45,1-12-2017-045-09,9,1,1,2,3838.87221500274000000000,9,2
7832,12,45,1-12-2017-045-09,9,1,2,6,3838.87221500274000000000,9,2
7874,12,47,1-12-2017-047-09,9,1,1,8,2454.35239269099000000000,9,2
8194,12,56,1-12-2017-056-04,4,1,1,6,6880.05579409105000000000,9,2
8337,12,59,1-12-2017-059-04,4,1,1,6,3838.87370925107000000000,9,2
8338,12,60,1-12-2017-060-04,4,1,1,4,3838.87370925107000000000,9,2
8435,12,62,1-12-2017-062-03,3,1,1,4,441.84896571885700000000,9,2
8618,12,67,1-12-2017-067-04,4,1,1,6,952.92853576381300000000,9,2
8679,12,69,1-12-2017-069-03,3,1,1,8,1450.54178421601000000000,9,2
8774,12,70,1-12-2017-070-01,1,1,1,8,473.93014835835700000000,9,2
8792,12,71,1-12-2017-071-02,2,1,1,6,595.88224788933300000000,9,2
8939,12,74,1-12-2017-074-06,6,2,1,2,419.20923822946600000000,9,2
9045,12,75,1-12-2017-075-04,4,2,1,8,1851.81367077250000000000,9,2
6251,13,6,1-13-2017-006-03,3,1,1,8,803.97047188463400000000,7,2
6252,13,7,1-13-2017-007-02,2,2,1,8,62.50188682578690000000,7,2
6253,13,8,1-13-2017-008-01,1,1,1,2,188.95571273465500000000,7,2
6253,13,8,1-13-2017-008-01,1,1,2,2,188.95571273465500000000,7,2
6253,13,8,1-13-2017-008-01,1,2,1,8,188.95571273465500000000,7,2
6370,13,11,1-13-2017-011-08,8,1,1,8,1502.31800595479000000000,7,2
6444,13,14,1-13-2017-014-02,2,2,1,2,138.18107266463300000000,7,2
6444,13,14,1-13-2017-014-02,2,2,2,2,138.18107266463300000000,7,2
6444,13,14,1-13-2017-014-02,2,2,3,2,138.18107266463300000000,7,2
6444,13,14,1-13-2017-014-02,2,2,4,2,138.18107266463300000000,7,2
6493,13,16,1-13-2017-016-04,4,1,1,2,2740.02107410605000000000,7,2
6591,13,21,1-13-2017-021-02,2,1,1,8,154.19440424639500000000,7,2
6645,13,22,1-13-2017-022-06,6,1,1,2,2455.12215097887000000000,7,2
6645,13,22,1-13-2017-022-06,6,1,2,2,2455.12215097887000000000,7,2
6645,13,22,1-13-2017-022-06,6,1,3,6,2455.12215097887000000000,7,2
6646,13,23,1-13-2017-023-03,3,1,1,4,1265.85023364405000000000,7,2
6646,13,23,1-13-2017-023-03,3,1,2,5,1265.85023364405000000000,7,2
6682,13,24,1-13-2017-024-03,3,1,1,2,1287.69584822980000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,1,6,1145.11784943843000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,2,7,1145.11784943843000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,3,4,1145.11784943843000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,4,4,1145.11784943843000000000,7,2
6723,13,27,1-13-2017-027-08,8,1,5,8,1145.11784943843000000000,7,2
6907,13,38,1-13-2017-038-03,3,1,1,4,1994.16895971702000000000,7,2
6907,13,38,1-13-2017-038-03,3,1,2,8,1994.16895971702000000000,7,2
6957,13,39,1-13-2017-039-02,2,1,1,2,140.15566461981000000000,7,2
6958,13,40,1-13-2017-040-03,3,1,1,8,1802.84182676890000000000,7,2
6990,13,41,1-13-2017-041-02,2,2,1,2,114.87970684568800000000,7,2
7125,13,50,1-13-2017-050-04,4,1,1,4,2521.65929840692000000000,7,2
7180,13,51,1-13-2017-051-02,2,1,1,4,223.87077588787700000000,7,2
7180,13,51,1-13-2017-051-02,2,1,2,4,223.87077588787700000000,7,2
7180,13,51,1-13-2017-051-02,2,1,3,4,223.87077588787700000000,7,2
7180,13,51,1-13-2017-051-02,2,1,4,8,223.87077588787700000000,7,2
7268,13,55,1-13-2017-055-10,10,1,1,6,15216.83519490180000000000,7,2
7366,13,57,1-13-2017-057-07,7,1,1,4,3594.91327501110000000000,7,2
7366,13,57,1-13-2017-057-07,7,1,2,5,3594.91327501110000000000,7,2
7366,13,57,1-13-2017-057-07,7,1,3,2,3594.91327501110000000000,7,2
7366,13,57,1-13-2017-057-07,7,1,4,6,3594.91327501110000000000,7,2
7368,13,59,1-13-2017-059-03,3,1,1,8,991.88248214289800000000,7,2
7449,13,62,1-13-2017-062-06,6,1,1,8,1271.49345553496000000000,7,2
7548,13,64,1-13-2017-064-09,9,1,1,8,1604.95204628538000000000,7,2
7548,13,64,1-13-2017-064-09,9,1,2,9,1604.95204628538000000000,7,2
7548,13,64,1-13-2017-064-09,9,1,3,2,1604.95204628538000000000,7,2
7548,13,64,1-13-2017-064-09,9,1,4,6,1604.95204628538000000000,7,2
7670,13,69,1-13-2017-069-05,5,1,1,8,163.10554247397100000000,7,2
7671,13,70,1-13-2017-070-10,10,1,1,4,15640.02830766000000000000,7,2
7672,13,71,1-13-2017-071-03,3,1,1,2,957.09968157431400000000,7,2
7672,13,71,1-13-2017-071-03,3,1,2,6,957.09968157431400000000,7,2
7751,13,75,1-13-2017-075-04,4,1,1,2,2843.96092831067000000000,7,2
7751,13,75,1-13-2017-075-04,4,1,2,6,2843.96092831067000000000,7,2
7837,13,79,1-13-2017-079-03,3,1,1,2,667.66011205087700000000,7,2
7838,13,80,1-13-2017-080-02,2,1,1,6,51.90491220812200000000,7,2
7845,13,81,1-13-2017-081-06,6,1,1,8,1294.92975302644000000000,7,2
7898,13,84,1-13-2017-084-03,3,1,1,8,561.29261198903300000000,7,2
7954,13,85,1-13-2017-085-09,9,1,1,6,5700.84514470473000000000,7,2
7955,13,86,1-13-2017-086-07,7,1,1,2,3590.29038735847000000000,7,2
7955,13,86,1-13-2017-086-07,7,1,2,6,3590.29038735847000000000,7,2
7956,13,87,1-13-2017-087-02,2,1,1,6,77.01129182409220000000,7,2
8010,13,89,1-13-2017-089-09,9,2,1,4,6987.46072198689000000000,7,2
8079,13,92,1-13-2017-092-02,2,1,1,8,81.33040876967740000000,7,2
8080,13,93,1-13-2017-093-04,4,1,1,2,3656.31496346705000000000,7,2
8213,13,97,1-13-2017-097-07,7,2,1,4,2231.50714696432000000000,7,2
8214,13,98,1-13-2017-098-03,3,1,1,8,615.70131977854700000000,7,2
8215,13,99,1-13-2017-099-03,3,1,1,8,615.70131977957600000000,7,2
8265,13,102,1-13-2017-102-02,2,1,1,4,49.89282740340760000000,7,2
8290,13,103,1-13-2017-103-03,3,3,1,4,641.77838507364300000000,7,2
8458,13,109,1-13-2017-109-03,3,1,1,2,588.49684970036100000000,7,2
8458,13,109,1-13-2017-109-03,3,1,2,3,588.49684970036100000000,7,2
8458,13,109,1-13-2017-109-03,3,1,3,4,588.49684970036100000000,7,2
8458,13,109,1-13-2017-109-03,3,1,4,4,588.49684970036100000000,7,2
8513,13,112,1-13-2017-112-02,2,1,1,4,83.42930842796530000000,7,2
8572,13,114,1-13-2017-114-03,3,1,1,4,3137.67327522689000000000,7,2
8572,13,114,1-13-2017-114-03,3,1,2,4,3137.67327522689000000000,7,2
8632,13,115,1-13-2017-115-02,2,1,1,8,44.98935760972250000000,7,2
8817,13,123,1-13-2017-123-04,4,1,1,8,5139.79718527359000000000,7,2
8962,13,125,1-13-2017-125-03,3,1,1,4,1036.63662966674000000000,7,2
8955,13,126,1-13-2017-126-03,3,1,1,8,1036.63662975577000000000,7,2
8956,13,127,1-13-2017-127-01,1,1,1,2,243.63881520503200000000,7,2
9014,13,128,1-13-2017-128-02,2,1,1,2,192.70173398915500000000,7,2
9095,13,129,1-13-2017-129-01,1,1,1,4,205.85280195908900000000,7,2
9095,13,129,1-13-2017-129-01,1,1,2,4,205.85280195908900000000,7,2
9095,13,129,1-13-2017-129-01,1,1,3,8,205.85280195908900000000,7,2
6222,14,4,1-14-2017-004-10,10,1,1,2,5496.44877828333000000000,8,2
6383,14,8,1-14-2017-008-08,8,1,1,8,1502.31800595479000000000,8,2
6383,14,8,1-14-2017-008-08,8,1,2,9,1502.31800595479000000000,8,2
6383,14,8,1-14-2017-008-08,8,1,3,2,1502.31800595479000000000,8,2
6383,14,8,1-14-2017-008-08,8,1,4,6,1502.31800595479000000000,8,2
6462,14,10,1-14-2017-010-07,7,1,1,2,2445.71364449741000000000,8,2
6618,14,15,1-14-2017-015-03,3,1,1,2,1955.82995505533000000000,8,2
6704,14,17,1-14-2017-017-05,5,1,1,4,628.83294075430700000000,8,2
6900,14,22,1-14-2017-022-03,3,1,1,4,4315.48660951168000000000,8,2
6900,14,22,1-14-2017-022-03,3,1,2,8,4315.48660951168000000000,8,2
6936,14,23,1-14-2017-023-02,2,1,1,8,310.24729344789100000000,8,2
6936,14,23,1-14-2017-023-02,2,1,2,9,310.24729344789100000000,8,2
6936,14,23,1-14-2017-023-02,2,1,3,2,310.24729344789100000000,8,2
7055,14,25,1-14-2017-025-10,10,1,1,2,20830.73511251550000000000,8,2
7055,14,25,1-14-2017-025-10,10,1,2,6,20830.73511251550000000000,8,2
7110,14,27,1-14-2017-027-05,5,1,1,8,376.25371089808100000000,8,2
7161,14,28,1-14-2017-028-02,2,1,1,2,299.17107424882100000000,8,2
7333,14,33,1-14-2017-033-07,7,2,1,4,2666.64479275074000000000,8,2
7425,14,36,1-14-2017-036-03,3,1,1,4,2580.54684703660000000000,8,2
7425,14,36,1-14-2017-036-03,3,1,2,8,2580.54684703660000000000,8,2
7584,14,39,1-14-2017-039-03,3,1,1,2,3229.32735824175000000000,8,2
7584,14,39,1-14-2017-039-03,3,1,2,6,3229.32735824175000000000,8,2
7655,14,40,1-14-2017-040-08,8,1,1,4,1502.31800595479000000000,8,2
7655,14,40,1-14-2017-040-08,8,2,1,2,1502.31800595479000000000,8,2
7768,14,43,1-14-2017-043-03,3,1,1,8,1443.64910237224000000000,8,2
7830,14,45,1-14-2017-045-05,5,1,1,8,331.76574405665300000000,8,2
7939,14,48,1-14-2017-048-03,3,1,1,8,915.91059954895700000000,8,2
8164,14,54,1-14-2017-054-10,10,1,1,2,8090.10027237410000000000,8,2
8164,14,54,1-14-2017-054-10,10,1,2,6,8090.10027237410000000000,8,2
8125,14,55,1-14-2017-055-03,3,1,1,8,443.83577890566900000000,8,2
8495,14,61,1-14-2017-061-05,5,1,1,2,425.66752853340800000000,8,2
8495,14,61,1-14-2017-061-05,5,1,2,6,425.66752853340800000000,8,2
8562,14,63,1-14-2017-063-06,6,1,1,4,6809.55000197747000000000,8,2
8870,14,70,1-14-2017-070-02,2,1,1,8,216.31812574293200000000,8,2
8987,14,72,1-14-2017-072-01,1,1,1,8,373.57530264623700000000,8,2
8987,14,72,1-14-2017-072-01,1,1,2,9,373.57530264623700000000,8,2
8987,14,72,1-14-2017-072-01,1,1,3,2,373.57530264623700000000,8,2
8987,14,72,1-14-2017-072-01,1,1,4,2,373.57530264623700000000,8,2
6209,15,2,1-15-2017-002-02,2,1,1,8,34.01448553765580000000,1,2
6410,15,8,1-15-2017-008-03,3,1,1,8,464.12802016883700000000,1,2
6507,15,10,1-15-2017-010-02,2,1,1,6,60.42411999603320000000,1,2
6550,15,11,1-15-2017-011-02,2,1,1,2,59.52783738415900000000,1,2
6550,15,11,1-15-2017-011-02,2,1,2,6,59.52783738415900000000,1,2
6602,15,12,1-15-2017-012-06,6,1,1,4,1189.18934594369000000000,1,2
6684,15,15,1-15-2017-015-06,6,1,1,2,1196.75176319565000000000,1,2
6684,15,15,1-15-2017-015-06,6,1,2,6,1196.75176319565000000000,1,2
6725,15,16,1-15-2017-016-05,5,2,1,2,165.94222400342600000000,1,2
6887,15,21,1-15-2017-021-05,5,1,1,8,103.82022035415100000000,1,2
6922,15,22,1-15-2017-022-04,4,1,1,8,3123.51012967514000000000,1,2
7236,15,32,1-15-2017-032-03,3,1,1,2,503.30813987989800000000,1,2
7236,15,32,1-15-2017-032-03,3,1,2,3,503.30813987989800000000,1,2
7286,15,34,1-15-2017-034-06,6,1,1,4,721.03095526330900000000,1,2
7286,15,34,1-15-2017-034-06,6,1,2,8,721.03095526330900000000,1,2
7392,15,42,1-15-2017-042-02,2,1,1,8,12.50099393235700000000,1,2
7445,15,44,1-15-2017-044-03,3,2,1,4,590.92510086590600000000,1,2
7614,15,48,1-15-2017-048-10,10,1,1,2,4659.22080567018000000000,1,2
7679,15,50,1-15-2017-050-03,3,1,1,8,132.58424975358400000000,1,2
7679,15,50,1-15-2017-050-03,3,1,2,9,132.58424975358400000000,1,2
7744,15,56,1-15-2017-056-04,4,1,1,4,1013.24784743425000000000,1,2
7744,15,56,1-15-2017-056-04,4,1,2,8,1013.24784743425000000000,1,2
7800,15,61,1-15-2017-061-05,5,1,1,2,22.99263074903850000000,1,2
7802,15,63,1-15-2017-063-03,3,1,1,8,134.92024387811600000000,1,2
7861,15,64,1-15-2017-064-08,8,1,1,6,429.36661046551200000000,1,2
7909,15,67,1-15-2017-067-02,2,1,1,2,24.28664758738630000000,1,2
8224,15,83,1-15-2017-083-03,3,1,1,2,451.34284302826000000000,1,2
8281,15,86,1-15-2017-086-03,3,1,1,2,225.61669606715800000000,1,2
8448,15,95,1-15-2017-095-09,9,1,1,6,2485.44786628367000000000,1,2
8449,15,96,1-15-2017-096-02,2,1,1,4,33.57529385300520000000,1,2
8449,15,96,1-15-2017-096-02,2,2,1,2,33.57529385300520000000,1,2
8522,15,98,1-15-2017-098-02,2,1,1,8,17.34590739210340000000,1,2
8645,15,105,1-15-2017-105-09,9,1,1,8,1616.11216002422000000000,1,2
8773,15,107,1-15-2017-107-03,3,1,1,8,813.78665224624900000000,1,2
8979,15,115,1-15-2017-115-04,4,1,1,6,660.95598803325400000000,1,2
8980,15,116,1-15-2017-116-02,2,1,1,6,16.28172991277250000000,1,2
6104,16,3,1-16-2017-003-05,5,1,1,4,51.01138574682890000000,5,2
6236,16,7,1-16-2017-007-07,7,1,1,99,700.60866870030600000000,5,2
6237,16,8,1-16-2017-008-07,7,1,1,4,700.60866870615300000000,5,2
6303,16,9,1-16-2017-009-05,5,1,1,8,141.91999980010600000000,5,2
6304,16,10,1-16-2017-010-02,2,1,1,2,61.04284349446160000000,5,2
6304,16,10,1-16-2017-010-02,2,1,2,2,61.04284349446160000000,5,2
6304,16,10,1-16-2017-010-02,2,1,3,6,61.04284349446160000000,5,2
6386,16,13,1-16-2017-013-09,9,1,1,2,1126.03630615239000000000,5,2
6386,16,13,1-16-2017-013-09,9,1,2,6,1126.03630615239000000000,5,2
6386,16,13,1-16-2017-013-09,9,1,3,98,1126.03630615239000000000,5,2
6486,16,18,1-16-2017-018-05,5,1,1,8,104.05714578876500000000,5,2
6527,16,20,1-16-2017-020-01,1,1,1,2,114.65642815516700000000,5,2
6527,16,20,1-16-2017-020-01,1,1,2,2,114.65642815516700000000,5,2
6527,16,20,1-16-2017-020-01,1,1,3,2,114.65642815516700000000,5,2
6631,16,25,1-16-2017-025-02,2,1,1,2,47.77282819979670000000,5,2
6660,16,28,1-16-2017-028-08,8,1,1,4,1148.15376578354000000000,5,2
6716,16,29,1-16-2017-029-04,4,1,1,2,2622.78984691832000000000,5,2
6736,16,30,1-16-2017-030-07,7,1,1,4,3068.62319672174000000000,5,2
6908,16,35,1-16-2017-035-04,4,1,1,2,14605.27882648470000000000,5,2
6951,16,37,1-16-2017-037-06,6,1,1,2,986.06523961507900000000,5,2
7016,16,39,1-16-2017-039-04,4,1,1,4,2127.02225203264000000000,5,2
7086,16,42,1-16-2017-042-07,7,1,1,8,880.36569952568900000000,5,2
7116,16,43,1-16-2017-043-03,3,1,1,8,957.10878992152000000000,5,2
7165,16,44,1-16-2017-044-04,4,1,1,2,406.54415384419700000000,5,2
7165,16,44,1-16-2017-044-04,4,2,1,2,406.54415384419700000000,5,2
7240,16,48,1-16-2017-048-01,1,1,1,2,85.68803151017660000000,5,2
7240,16,48,1-16-2017-048-01,1,1,2,2,85.68803151017660000000,5,2
7240,16,48,1-16-2017-048-01,1,1,3,6,85.68803151017660000000,5,2
7274,16,50,1-16-2017-050-03,3,1,1,4,339.16571743006300000000,5,2
7274,16,50,1-16-2017-050-03,3,1,2,8,339.16571743006300000000,5,2
7304,16,51,1-16-2017-051-06,6,1,1,8,3067.09838689603000000000,5,2
7304,16,51,1-16-2017-051-06,6,1,2,9,3067.09838689603000000000,5,2
7304,16,51,1-16-2017-051-06,6,1,3,2,3067.09838689603000000000,5,2
7358,16,53,1-16-2017-053-05,5,2,1,2,92.13841593463610000000,5,2
7529,16,55,1-16-2017-055-03,3,1,1,8,398.50972604971200000000,5,2
7530,16,56,1-16-2017-056-05,5,1,1,8,67.91261798517790000000,5,2
7731,16,60,1-16-2017-060-08,8,1,1,8,975.90571238197800000000,5,2
8262,16,73,1-16-2017-073-04,4,1,1,8,1022.75343708077000000000,5,2
8355,16,75,1-16-2017-075-04,4,1,1,8,3233.52587013727000000000,5,2
8419,16,76,1-16-2017-076-04,4,1,1,2,1988.35356427731000000000,5,2
8419,16,76,1-16-2017-076-04,4,1,2,6,1988.35356427731000000000,5,2
8550,16,80,1-16-2017-080-10,10,1,1,8,8274.88500519685000000000,5,2
8551,16,81,1-16-2017-081-03,3,1,1,2,526.78168572825000000000,5,2
8551,16,81,1-16-2017-081-03,3,1,2,6,526.78168572825000000000,5,2
8647,16,85,1-16-2017-085-02,2,1,1,2,24.48450823897450000000,5,2
8691,16,86,1-16-2017-086-09,9,1,1,2,3547.68665158674000000000,5,2
8691,16,86,1-16-2017-086-09,9,1,2,6,3547.68665158674000000000,5,2
8789,16,88,1-16-2017-088-06,6,2,1,2,2287.90777727149000000000,5,2
8861,16,90,1-16-2017-090-09,9,1,1,2,3126.49455209188000000000,5,2
8861,16,90,1-16-2017-090-09,9,1,2,6,3126.49455209188000000000,5,2
8951,16,91,1-16-2017-091-02,2,1,1,4,28.38718458042420000000,5,2
8951,16,91,1-16-2017-091-02,2,1,2,8,28.38718458042420000000,5,2
9019,16,95,1-16-2017-095-06,6,1,1,2,910.10497547752300000000,5,2
9019,16,95,1-16-2017-095-06,6,1,2,6,910.10497547752300000000,5,2
9115,16,97,1-16-2017-097-03,3,1,1,4,162.41734696448600000000,5,2
6117,17,2,1-17-2017-002-09,9,1,1,2,1415.10629264720000000000,4,2
6117,17,2,1-17-2017-002-09,9,1,2,6,1415.10629264720000000000,4,2
6118,17,3,1-17-2017-003-08,8,1,1,8,186.33080319887600000000,4,2
6182,17,4,1-17-2017-004-09,9,1,1,6,384.01366230303100000000,4,2
6184,17,6,1-17-2017-006-04,4,1,1,2,214.93968732486500000000,4,2
6184,17,6,1-17-2017-006-04,4,1,2,6,214.93968732486500000000,4,2
